Temps,S,I,R,V,Q
0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.0
1,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
2,0.92,0.08,0.0,0.0,0.0
3,0.9133333333333333,0.08666666666666667,0.0,0.0,0.0
4,0.8933333333333333,0.10666666666666667,0.0,0.0,0.0
5,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0
6,0.8066666666666666,0.19333333333333333,0.0,0.0,0.0
7,0.7133333333333334,0.2866666666666667,0.0,0.0,0.0
8,0.62,0.38,0.0,0.0,0.0
9,0.48,0.5133333333333333,0.006666666666666667,0.0,0.0
10,0.38,0.6066666666666667,0.013333333333333334,0.0,0.0
11,0.3,0.6666666666666666,0.03333333333333333,0.0,0.0
12,0.20666666666666667,0.7133333333333334,0.08,0.0,0.0
13,0.16666666666666666,0.7466666666666667,0.08666666666666667,0.0,0.0
14,0.12,0.7733333333333333,0.10666666666666667,0.0,0.0
15,0.09333333333333334,0.7733333333333333,0.13333333333333333,0.0,0.0
16,0.06666666666666667,0.74,0.19333333333333333,0.0,0.0
17,0.04666666666666667,0.6666666666666666,0.2866666666666667,0.0,0.0
18,0.04,0.58,0.38,0.0,0.0
19,0.02,0.44,0.52,0.02,0.0
20,0.013333333333333334,0.3466666666666667,0.62,0.02,0.0
21,0.013333333333333334,0.26666666666666666,0.7,0.02,0.0
22,0.006666666666666667,0.18,0.7933333333333333,0.02,0.0
23,0.006666666666666667,0.14,0.8333333333333334,0.02,0.0
24,0.006666666666666667,0.09333333333333334,0.88,0.02,0.0
25,0.006666666666666667,0.06666666666666667,0.9066666666666666,0.02,0.0
26,0.006666666666666667,0.04,0.9333333333333333,0.02,0.0
27,0.006666666666666667,0.02,0.9533333333333334,0.02,0.0
28,0.006666666666666667,0.013333333333333334,0.96,0.02,0.0
29,0.006666666666666667,0.013333333333333334,0.96,0.02,0.0
30,0.006666666666666667,0.006666666666666667,0.9666666666666667,0.02,0.0
31,0.006666666666666667,0.006666666666666667,0.9666666666666667,0.02,0.0
